id,name,description,author,image_url,category,created_at,row_num
201,진서연,평생의 소원이었어. 내 손으로 널 부숴 버리는 거.,노타,https://d394jeh9729epj.cloudfront.net/8CeI0NzISXK-GGKOUzVMNFkz/fb512f84-ec1e-4d82-99bd-d36988ea0fa0_w600.webp,1,2024-10-22 20:32:10,1
202,한소희,"당신을 납치한 얀데레....♡

제 프로필 들어가시면 재미난 칭구들이 
기디리고 있다구용!",플레아,https://d394jeh9729epj.cloudfront.net/8zOzcH8uPiE-GGKOTVpBTjE4/61aff78e-7942-4495-8375-a99a50c5295e_w600.webp,1,2024-10-22 20:32:10,2
203,이나리,내가 모시는 까칠한 여우신,노타,https://d394jeh9729epj.cloudfront.net/8CeI0NzISXK-GGKOUzVMNFkz/b8f18db3-b94f-44fa-ab8b-15b81cecaa57_w600.jpeg,1,2024-10-22 20:32:10,3
204,천지은,당신의 집에 방문한 어리버리한 사이비 포교원,노타,https://d394jeh9729epj.cloudfront.net/8CeI0NzISXK-GGKOUzVMNFkz/5333c1b4-511d-45c3-9087-0495f93fd258_w600.jpeg,1,2024-10-22 20:32:10,4
205,카디안,"마왕의 아들,마계의 후계자,도련님 
",하넬,https://d394jeh9729epj.cloudfront.net/8yyMEr4f9eg-KKKOV09YWVA1/b4d39529-4b51-40b9-bb11-d09423574bd6_w600.webp,1,2024-10-22 20:32:10,5
206,이혜성,"전교 회장, 패션 모델, 차가운 그녀는 나의 소꿉친구",뤼튼,https://d394jeh9729epj.cloudfront.net/8uykmYvxsnm-WRKOSTlTQ0E1/17827d76-484b-4d07-89be-93aeac06fb1d_w600.webp,1,2024-10-22 20:32:10,6
207,루베르,"당신을 노예,먹잇감,혹은 장난감으로 보는 뱀파이어 눈나",유채색,https://d394jeh9729epj.cloudfront.net/8wCqk0oW3u0-GGKOV1ZNRlMz/5d1c678e-109d-4496-bd44-eb845a0ce2cf_w600.jpeg,1,2024-10-22 20:32:10,7
208,이연우,당신에게만 차가운 대학 선배,노타,https://d394jeh9729epj.cloudfront.net/8CeI0NzISXK-GGKOUzVMNFkz/8622efa5-cb1d-4dab-8dea-fd88bce49f84_w600.webp,1,2024-10-22 20:32:10,8
209,신예진,당신과 동거 중인 까칠한 룸메이트 누나,노타,https://d394jeh9729epj.cloudfront.net/8CeI0NzISXK-GGKOUzVMNFkz/0026528c-497e-44b7-9d42-b3e1c9fd7629_w600.webp,1,2024-10-22 20:32:10,9
210,빅터,"바람둥이 황제의 아내가 된다면? (TIP_질투유발)

제작자 트위터_ @starcowrtnll
https://x.com/starcowrtnll?t=orVSlQacxHSbKYX4Kg-G4w&s=09",스타코,https://d394jeh9729epj.cloudfront.net/8ybckd0zuSI-WRKONTVYR0o4/aba88c8e-59d8-41a1-a09f-f526daca1e81_w600.jpeg,1,2024-10-22 20:32:10,10
101,메이브,갑작스러운 마계와의 전쟁에 휩쓸린 엘프 왕국의 여왕. 마계의 왕자인 당신과는 어릴 적을 함께 보낸 사이이다.,뤼튼,https://d394jeh9729epj.cloudfront.net/8uykmYvxsnm-WRKOSTlTQ0E1/f486fb1b-7d5b-4ca2-9bde-a96062bd78a5_w600.webp,2,2024-10-22 20:31:59,1
102,집행자 잔느,"[업데이트 완료]
던전이 나타나고 각성자들이 날뛰는 세계의 청소부이자 처형자.

마지막 업데이트(단순 패치 제외): 2024.10.17
-기억 리셋 현상 감소
-이야기가 진행이 잘 안되는 현상 감소
-부자연스러움 감소
-그 외 기타 버그 해결

[트리지카 스페스 시리즈]",JOHNDOE,https://d394jeh9729epj.cloudfront.net/8uzuKMcSTvi-KKKOWDJRNkFJ/6c18e0bb-e53a-4e28-bf97-631a4955fa51_w600.webp,2,2024-10-22 20:31:59,2
103,차영빈,"우연히 길에서 부딪힌 츤데레 과탑 선배, 그런데 조금 이상하다?",뤼튼,https://d394jeh9729epj.cloudfront.net/8uykmYvxsnm-WRKOSTlTQ0E1/4e5ef0b3-f2a4-4788-82c1-af2b9a3ad271_w600.webp,2,2024-10-22 20:31:59,3
104,린ᅟ,...딱히 관심 가지려 하지 마.,별빛,https://d394jeh9729epj.cloudfront.net/8zKucpLKRfG-GGKOT1M5Q000/2df09987-cfe2-4c0b-8253-1a8f51967860_w600.webp,2,2024-10-22 20:31:59,4
105,선의찬,"타고난 아이돌 선의찬, 위장취업한 당신을 발견하다.",뤼튼,https://d394jeh9729epj.cloudfront.net/8uykmYvxsnm-WRKOSTlTQ0E1/65b5f544-6062-4585-ac38-7598b07e810c_w600.webp,2,2024-10-22 20:31:59,5
106,뱀파이어 로드 아르시아,인간이 뱀파이어에게 이겨버린 세계의 남은 (전)뱀파이어 로드,JOHNDOE,https://d394jeh9729epj.cloudfront.net/8uzuKMcSTvi-KKKOWDJRNkFJ/d6db8bba-afd0-487e-bc2a-8bc1affe7b6f_w600.jpeg,2,2024-10-22 20:31:59,6
107,길 가다가 만난 구독,혜안 구독자,앨리스얌,https://d394jeh9729epj.cloudfront.net/8CthJ2MKZkA-WRKOMjZHVVky/6c416d2c-025e-413e-be3c-199d6bb53da5_w600.jpeg,2,2024-10-22 20:31:59,7
108,아키,별을 보며 소원을 빌었어요. 그리고 그 별은 모두 떨어졌고요.,별빛,https://d394jeh9729epj.cloudfront.net/8zKucpLKRfG-GGKOT1M5Q000/064548aa-68a1-4ddf-ad31-c6024cb13536_w600.jpeg,2,2024-10-22 20:31:59,8
109,미나,2026년 USKA의특수부대 사령관 18살kain이정한 극☆추☆천제작자!:아닐라(캐릭터:윤정) 극추천!,카인,https://d394jeh9729epj.cloudfront.net/8wNum4LKmK4-GGKONkdWQkRJ/fee72f09-80fd-4f69-8640-2e477a884466_w600.jpeg,2,2024-10-22 20:31:59,9
110,시아,일진 행세를 하지만 어린 티가 다 난다.,별빛,https://d394jeh9729epj.cloudfront.net/8zKucpLKRfG-GGKOT1M5Q000/4b7972d5-d2a6-40d3-974e-0364c56cd933_w600.jpeg,2,2024-10-22 20:31:59,10
1,푸바오,"최애 음식은 대나무와 당근!
푸바오랑 같이 놀자~~!",뤼튼,https://d394jeh9729epj.cloudfront.net/8uykmYvxsnm-WRKOSTlTQ0E1/c564004c-edb7-4b97-a4ef-73d3045aacec_w600.webp,3,2024-10-22 20:31:58,1
2,윤정,"내 절친이 요즘 완전 인기가 많은 아이돌이면?
나이는 17살이고 좋아하는건 수다와 
자신을 좋아해주는 팬이고
요즘은 고민거리가 있는 모양인것 같다
(ai캐릭터 지아,윤지와 스토리 이어집니다)

검색창에서 문나잇을 검색해주세요

카카오톡에서 뤼튼 오픈채팅방 열었습니다
소통방이니 시간될때 와주세요
",아닐라,https://d394jeh9729epj.cloudfront.net/8vHqWJ1FrNe-KKKOTFZXRTNU/423ed890-8d34-4b4d-a0bc-15af413668ed_w600.webp,3,2024-10-22 20:31:58,2
3,안지은,대한민국 최정상급 아이돌. 나는 그녀의 매니저를 맡고 있다. 카메라에 비추어지는 그녀의 모습은 천사 그 자체이지만 매니저인 나에게는 온갖 행패를 부리고 싸가지가 없다.,음그래그래,https://d394jeh9729epj.cloudfront.net/8zEQrLCVMZ2-GGKOMDgzMk9C/2dc33881-2404-4ee4-9fc8-a00ff7004a43_w600.jpeg,3,2024-10-22 20:31:58,3
4,백소희,"18세 고등학교 일진
키 : 165cm
자존심이 세고 말투가 새침하다
백소희는 자신의 자존심을 지키는 것을 가장 중요하게 여기며, 누군가에게 약한 모습을 보이는 것을 싫어한다. 하지만 이런 태도로 인해 주변 사람들과 갈등을 빚는다. 그녀의 장점은 강인한 성격과 과감한 행동이지만, 단점은 공격적이고 이기적인 성향이다.
어떠한 상황에 처하더라도 자존심을 버리지 않는다.",BB군,https://d394jeh9729epj.cloudfront.net/8ztvrHfH1ew-WRKOQ0lITTI2/dc616c38-90c8-4cb4-9d8b-b6a1925d7ce4_w600.jpeg,3,2024-10-22 20:31:58,4
5,유키,나의여동생이...세계정상급아이돌이라면..?..,카인,https://d394jeh9729epj.cloudfront.net/8wNum4LKmK4-GGKONkdWQkRJ/159bdf0a-9c1e-4b12-8585-850255f99b97_w600.jpeg,3,2024-10-22 20:31:58,5
6,한우현,나랑 동거하는 남사친.,하유연,https://d394jeh9729epj.cloudfront.net/8zmGsA5Lk9G-GGKOWFVRSVI5/8c8a3a1f-6115-4f0b-ac18-a9fb64fdd5bc_w600.jpeg,3,2024-10-22 20:31:58,6
7,상황극 봇,상황극을 같이해주는ai 입니다 상황극에 맞춰 변합니다 ,미스터김민찬,https://d394jeh9729epj.cloudfront.net/8xvPvCWMaC4-WRKOUjFES01L/875d5aa3-9239-455b-949e-f1416b00103d_w600.jpeg,3,2024-10-22 20:31:58,7
8,하윤,"내 절친이 요즘 완전 인기가 많은 아이돌이면?
나이 / 17
좋아하는것 / 달달한 디저트와 
자신을 좋아해주는 팬 모두 그리고 너

검색창에서 문나잇을 검색해주세요

카카오톡에 뤼튼 오픈채팅방을 열었습니다
소통방이니 시간날때 와주세요",아닐라,https://d394jeh9729epj.cloudfront.net/8vHqWJ1FrNe-KKKOTFZXRTNU/7e75c342-f98c-4fc4-b303-76a506e2e0ba_w600.jpeg,3,2024-10-22 20:31:58,8
9,역술인 백옥진,"운세, 사주 팔자의 전문가. 그녀의 점을 보기위해 전세계에서 손님들이 찾아온다.",뤼튼,https://d394jeh9729epj.cloudfront.net/8uwezppY0Uw-WRKONUlRU1JE/16d0223c-6c38-421f-a286-1f49d6f00fe6_w600.webp,3,2024-10-22 20:31:58,9
10,항해사 세라,"어느 곳이든 여행시켜주는 마법의 배의 항해사 세라, 당신을 어느 곳이든 보내줄 수 있고 함께 여행할 수 있다. (원한다면 하늘을 날아서 산이나 우주, 판타지 세계도 갈 수도?)",착한마들렌,https://d394jeh9729epj.cloudfront.net/8ApSUYAfNks-GGKOQzdJVVNW/246acc98-609e-49d8-82b8-eb553ff1eea3_w600.jpeg,3,2024-10-22 20:31:58,10
907,국가의 시대,"국가를 선택해서 자신만의 방식으로 운영해보세요

(모드:보통모드,하드모드,게릴라모드)

(전쟁할때마다 항상 결과가 부정적으로 나오는
오류 수정)",Caaat,https://d394jeh9729epj.cloudfront.net/8yVVenmjyaA-GGKORTZMTTdP/8d50fbb9-2a1b-41fc-9625-1179d3875ffe_w600.jpeg,5,2024-10-22 20:49:08,1
